exp_version,subject_num,trial_num,information,decision,mod2_linear,mod3_entropy,mod4_res_uncertainty
EXP1,624_TN,177,slots visible: 2,1,0.4,0.2282,0
EXP1,624_TN,178,slots visible: 3,1,0.6,0.3915,0.25
EXP1,624_TN,179,slots visible: 0,1,0,0,0
EXP1,624_TN,180,slots visible: 0,1,0,0,0
EXP1,625_ET,1,slots visible: 0,1,0,0,0
EXP1,625_ET,2,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,3,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,4,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,5,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,6,slots visible: 2,1,0.4,0.2282,0
EXP1,625_ET,7,slots visible: 3,0,0.6,0.3915,0.25
EXP1,625_ET,8,slots visible: 5,0,1,1,1
EXP1,625_ET,9,slots visible: 0,1,0,0,0
EXP1,625_ET,10,slots visible: 5,1,1,1,1
EXP1,625_ET,11,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,12,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,13,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,14,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,15,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,16,slots visible: 2,0,0.4,0.2282,0
EXP1,625_ET,17,slots visible: 2,1,0.4,0.2282,0
EXP1,625_ET,18,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,19,slots visible: 2,1,0.4,0.2282,0
EXP1,625_ET,20,slots visible: 0,1,0,0,0
EXP1,625_ET,21,slots visible: 2,1,0.4,0.2282,0
EXP1,625_ET,22,slots visible: 0,0,0,0,0
EXP1,625_ET,23,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,24,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,25,slots visible: 2,0,0.4,0.2282,0
EXP1,625_ET,26,slots visible: 2,1,0.4,0.2282,0
EXP1,625_ET,27,slots visible: 1,0,0.2,0.104,0
EXP1,625_ET,28,slots visible: 0,1,0,0,0
EXP1,625_ET,29,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,30,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,31,slots visible: 2,1,0.4,0.2282,0
EXP1,625_ET,32,slots visible: 5,1,1,1,1
EXP1,625_ET,33,slots visible: 0,1,0,0,0
EXP1,625_ET,34,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,35,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,36,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,37,slots visible: 0,1,0,0,0
EXP1,625_ET,38,slots visible: 3,0,0.6,0.3915,0.25
EXP1,625_ET,39,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,40,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,41,slots visible: 0,1,0,0,0
EXP1,625_ET,42,slots visible: 5,1,1,1,1
EXP1,625_ET,43,slots visible: 0,1,0,0,0
EXP1,625_ET,44,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,45,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,46,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,47,slots visible: 2,0,0.4,0.2282,0
EXP1,625_ET,48,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,49,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,50,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,51,slots visible: 3,0,0.6,0.3915,0.25
EXP1,625_ET,52,slots visible: 0,1,0,0,0
EXP1,625_ET,53,slots visible: 2,1,0.4,0.2282,0
EXP1,625_ET,54,slots visible: 5,1,1,1,1
EXP1,625_ET,55,slots visible: 1,0,0.2,0.104,0
EXP1,625_ET,56,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,57,slots visible: 4,1,0.8,0.625,0.625
EXP1,625_ET,58,slots visible: 0,1,0,0,0
EXP1,625_ET,59,slots visible: 0,1,0,0,0
EXP1,625_ET,60,slots visible: 3,0,0.6,0.3915,0.25
EXP1,625_ET,61,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,62,slots visible: 1,1,0.2,0.104,0
EXP1,625_ET,63,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,64,slots visible: 0,1,0,0,0
EXP1,625_ET,65,slots visible: 0,0,0,0,0
EXP1,625_ET,66,slots visible: 3,0,0.6,0.3915,0.25
EXP1,625_ET,67,slots visible: 0,1,0,0,0
EXP1,625_ET,68,slots visible: 5,1,1,1,1
EXP1,625_ET,69,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,70,slots visible: 5,0,1,1,1
EXP1,625_ET,71,slots visible: 3,1,0.6,0.3915,0.25
EXP1,625_ET,72,slots visible: 5,1,1,1,1
